date,status,speaker,title,url,last_checked,language,type,description
2020-06-28,Success,Unknown Speaker,06-28-2020 Sunday School | What Was The Holy Ghost Given For? 1959,https://www.youtube.com/watch?v=BSK8vLXh9VY,2025-12-30,Unknown,Full Sermon,
2020-07-05,Success,The Beauty And The Beast,07-05-2020 Bro. Bloteh Won - The Beauty And The Beast,https://www.youtube.com/watch?v=HJFblGuqSuQ,2025-12-30,Unknown,Full Sermon,
2020-07-05,Success,Unknown Speaker,07-05-2020 Sunday School | What Was The Holy Ghost Given For? 1959,https://www.youtube.com/watch?v=5xuqS5kcNAc,2025-12-30,Unknown,Full Sermon,
2020-07-08,Success,A Generation Playing,07-08-2020 Bro. Bloteh Won - A Generation Playing God,https://www.youtube.com/watch?v=Dum8yfAYpuk,2025-12-30,Unknown,Full Sermon,
2020-07-12,Success,Bloteh Won,"07-12-2020 Bro. Bloteh Won    ""What Is The Attraction On Your Mountain?""",https://www.youtube.com/watch?v=fCJe2PT6yzA,2025-12-30,Unknown,Full Sermon,
2020-07-12,Success,Unknown Speaker,07-12-2020 Sunday School | What Was The Holy Ghost Given For? 1959,https://www.youtube.com/watch?v=_oS4abCZUrI,2025-12-30,Unknown,Full Sermon,
2020-07-19,Success,Forest Farmer,"07-19-2020 Sunday  Evening Service Bro. Forest Farmer: ""No Regrets""",https://www.youtube.com/watch?v=h0xeh39h34s,2025-12-30,Unknown,Full Sermon,
2020-07-19,Success,Unknown Speaker,07-19-2020 Sunday Service Bro. Forest Farmer The Fruit of The Ministry Of Jesus,https://www.youtube.com/watch?v=m_ZsLIqzrsc,2025-12-28,Unknown,Full Sermon,
2020-07-22,Success,Bloteh Won,07-22-2020 Bro. Bloteh Won: A Certain Woman Pt 2,https://www.youtube.com/watch?v=mjzcKFDi_g4,2025-12-30,Unknown,Full Sermon,
2020-07-26,Success,Unknown Speaker,07-26-2020  Sunday School,https://www.youtube.com/watch?v=Ev_S48nBzgw,2025-12-28,Unknown,Full Sermon,
2020-07-29,Success,Bloteh Won,07-29-2020  Bro Bloteh Won : Study Wars No More,https://www.youtube.com/watch?v=j9WSyKJfa1Q,2025-12-30,Unknown,Full Sermon,
2020-08-02,Success,Won Bloteh,08-02-2020  Bro Won Bloteh: What's The Atraction On Your Mountain pt.2,https://www.youtube.com/watch?v=BN_mFucxuTM,2025-12-30,Unknown,Full Sermon,
2020-08-02,Success,Unknown Speaker,08-02-2020  Sunday School,https://www.youtube.com/watch?v=DN4zaaSU9Vg,2025-12-28,Unknown,Full Sermon,
2020-08-05,Success,Bloteh Won,08-05-2020  Bro Bloteh Won: Sacrifice,https://www.youtube.com/watch?v=u7S27DFKgwI,2025-12-30,Unknown,Full Sermon,
2020-08-09,Success,Unknown Speaker,08-09-2020  Sunday School: What Is The Attraction On  The Mountain.,https://www.youtube.com/watch?v=nDvFDUqhwDc,2025-12-30,Unknown,Full Sermon,
2020-08-12,Success,Bloteh Won,08-12-2020  Bro Bloteh Won: The Word of God is on Your Hands,https://www.youtube.com/watch?v=mY-DdM-5W1E,2025-12-30,Unknown,Full Sermon,
2020-08-16,Success,Unknown Speaker,08-16-2020  Sunday School: What Is The Attraction On  The Mountain.,https://www.youtube.com/watch?v=hpYm8ohTLSM,2025-12-30,Unknown,Full Sermon,
2020-08-19,Success,Bloteh Won,08-19-2020  Brother Bloteh Won: His Abiding Presence,https://www.youtube.com/watch?v=p-rd09Ia2JA,2025-12-30,Unknown,Full Sermon,
2020-08-23,Success,Bloteh Won,"08-23-2020  Brother Bloteh Won: ""God's Family Tree""",https://www.youtube.com/watch?v=89Gfarzw6QM,2025-12-30,Unknown,Full Sermon,
2020-08-23,Success,Unknown Speaker,"08-23-2020  Sunday School ""A Paradox""",https://www.youtube.com/watch?v=jFTOGRlDXmQ,2025-12-30,Unknown,Full Sermon,
2020-08-26,Success,Bloteh Won,08-26-2020  Brother Bloteh Won: The Seed and the Root of the Serpent,https://www.youtube.com/watch?v=jvcFaJS01nU,2025-12-30,Unknown,Full Sermon,
2020-08-30,Success,Unknown Speaker,08-30-2020 Sunday School: A Paradox Continued,https://www.youtube.com/watch?v=MlI-7L9Bu8Q,2025-12-30,Unknown,Full Sermon,
2020-08-30,Success,An Altar Without Sacrifice,08-30-2020 Sunday Service: Pastor Bloteh Won - An Altar Without Sacrifice,https://www.youtube.com/watch?v=U8KKc8RtVWA,2025-12-30,Unknown,Full Sermon,
2020-09-02,Success,I Am the,09-02-2020 Wednesday Service: Brother Loyal Carlon - I Am the Way,https://www.youtube.com/watch?v=48N7j_MP6xM,2025-12-30,Unknown,Full Sermon,
2020-09-05,Success,Frank Prater,09-05-2020 Saturday Service: Brother Frank Prater : THE REVELATION OF JESUS CHRIST I,https://www.youtube.com/watch?v=-k86QhbiLEc,2025-12-30,Unknown,Full Sermon,
2020-09-06,Success,Unknown Speaker,09-06-2020 Sunday School: A Paradox,https://www.youtube.com/watch?v=-ngFSX1BbBY,2025-12-30,Unknown,Full Sermon,
2020-09-09,Success,Ps Won,09-09-2020 Wed. Service - Ps Won - The Bride Is The Continuation Of The Revelation of Jesus Christ,https://www.youtube.com/watch?v=yvTl71kHj2k,2025-12-30,Unknown,Full Sermon,
2020-09-13,Success,Unknown Speaker,09-13-2020 Sunday School: Jesus Keeps All His Appointments,https://www.youtube.com/watch?v=N0fmM66YgHg,2025-12-30,Unknown,Full Sermon,
